generic,disease,min_weight,max_weight,min_crcl,max_crcl,max_dose_dd_mg,max_dose_dw_mg,max_dose_dd_iu,max_dose_dw_iu,route,flag,route_label,route_PO,route_IM,route_IV,flag_label,min_crcl_minmax,max_crcl_minmax,max_dose_dd_mg_minmax,max_dose_dw_mg_minmax
Doripenem,General,0.0,999.0,30.0,50.0,750.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.42857142857142855,0.04623115577889447,0.052083333333333336,0.0
Doripenem,General,0.0,999.0,10.0,29.0,500.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.14285714285714285,0.02512562814070352,0.034722222222222224,0.0
Doxycycline,General,0.0,999.0,0.0,999.0,0.0,0.0,0.0,0.0,IV,Not Required,2,0,0,1,1,0.0,1.0,0.0,0.0
Ertapenem,General,0.0,999.0,0.0,30.0,500.0,0.0,0.0,0.0,IM,Normal,1,0,1,0,0,0.0,0.02613065326633166,0.034722222222222224,0.0
Ertapenem,General,0.0,999.0,0.0,30.0,500.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.0,0.02613065326633166,0.034722222222222224,0.0
Erythromycin,General,0.0,999.0,11.0,90.0,2000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.15714285714285714,0.0864321608040201,0.1388888888888889,0.0
Erythromycin,General,0.0,999.0,11.0,90.0,4000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.15714285714285714,0.0864321608040201,0.2777777777777778,0.0
Erythromycin,General,0.0,999.0,0.0,10.0,1000.0,0.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.0,0.006030150753768844,0.06944444444444445,0.0
Erythromycin,General,0.0,999.0,11.0,90.0,2000.0,0.0,0.0,0.0,IV,Normal,2,0,0,1,0,0.15714285714285714,0.0864321608040201,0.1388888888888889,0.0
Ethambutol,General,0.0,999.0,10.0,50.0,0.0,25.0,0.0,0.0,PO,Normal,0,1,0,0,0,0.14285714285714285,0.04623115577889447,0.0,1.0
